,Model,Dataset,Metric,Mean,Std
167,MLPRegressor,region_job_2_g,KS Gap,0.9591328501701355,0.0
168,FMP,region_job_2_r,KS Gap,0.3784818947315216,0.0
169,FairGNN,region_job_2_r,KS Gap,3.764800786972046,0.0
170,FairRegGNN,region_job_2_r,KS Gap,0.6214722394943237,0.0
171,GATRegressor,region_job_2_r,KS Gap,0.771410346031189,0.0
172,GCNRegressor,region_job_2_r,KS Gap,0.5562694072723389,0.0
173,GINRegressor,region_job_2_r,KS Gap,0.6464898586273193,0.0
174,GraphSAGERegressor,region_job_2_r,KS Gap,0.9522634148597717,0.0
175,MLPRegressor,region_job_2_r,KS Gap,0.9585932493209839,0.0
176,FMP,region_job_g,KS Gap,0.473503440618515,0.0
177,FairGNN,region_job_g,KS Gap,4.201948642730713,0.0
178,FairRegGNN,region_job_g,KS Gap,0.5722688436508179,0.0
179,GATRegressor,region_job_g,KS Gap,0.7734453082084656,0.0
180,GCNRegressor,region_job_g,KS Gap,0.5406345129013062,0.0
181,GINRegressor,region_job_g,KS Gap,0.668708860874176,0.0
182,GraphSAGERegressor,region_job_g,KS Gap,0.9502535462379456,0.0
183,MLPRegressor,region_job_g,KS Gap,0.9596500992774963,0.0
184,FMP,region_job_r,KS Gap,0.4702921211719513,0.0
185,FairGNN,region_job_r,KS Gap,2.8952090740203857,0.0
186,FairRegGNN,region_job_r,KS Gap,0.6223155856132507,0.0
187,GATRegressor,region_job_r,KS Gap,0.7848278284072876,0.0
188,GCNRegressor,region_job_r,KS Gap,0.536455512046814,0.0
189,GINRegressor,region_job_r,KS Gap,0.704001784324646,0.0
190,GraphSAGERegressor,region_job_r,KS Gap,0.9522144794464111,0.0
191,MLPRegressor,region_job_r,KS Gap,0.9582273364067078,0.0
192,FMP,german_e,MAE Gap,0.29159078001976013,0.0
193,FairGNN,german_e,MAE Gap,0.10086512565612793,0.0
194,FairRegGNN,german_e,MAE Gap,0.12368667125701904,0.0
195,GATRegressor,german_e,MAE Gap,0.3248956501483917,0.0
196,GCNRegressor,german_e,MAE Gap,0.26633794157248514,0.0
197,GINRegressor,german_e,MAE Gap,0.2755260467529297,0.0
198,GraphSAGERegressor,german_e,MAE Gap,0.3744993805885315,0.0
199,MLPRegressor,german_e,MAE Gap,0.3283294438124464,0.0
200,FMP,german_f,MAE Gap,0.24029934406280518,0.0
201,FairGNN,german_f,MAE Gap,0.08667230606079102,0.0
202,FairRegGNN,german_f,MAE Gap,0.09660005569458008,0.0
203,GATRegressor,german_f,MAE Gap,0.2854181230068207,0.0
204,GCNRegressor,german_f,MAE Gap,0.2508069964717364,0.0
205,GINRegressor,german_f,MAE Gap,0.5266143083572388,0.0
206,GraphSAGERegressor,german_f,MAE Gap,0.36160948877711885,0.0
207,MLPRegressor,german_f,MAE Gap,0.37951274740962526,0.0
208,FMP,german_g,MAE Gap,0.25648367404937744,0.0
209,FairGNN,german_g,MAE Gap,0.07910239696502686,0.0
210,FairRegGNN,german_g,MAE Gap,0.09848582744598389,0.0
211,GATRegressor,german_g,MAE Gap,0.2863899106673673,0.0
212,GCNRegressor,german_g,MAE Gap,0.27918324450116355,0.0
213,GINRegressor,german_g,MAE Gap,0.48046863079071045,0.0
214,GraphSAGERegressor,german_g,MAE Gap,0.35780829965573835,0.0
215,MLPRegressor,german_g,MAE Gap,0.32759090822261916,0.0
216,FMP,german_h,MAE Gap,0.2151287943124771,0.0
217,FairGNN,german_h,MAE Gap,0.11269629001617432,0.0
218,FairRegGNN,german_h,MAE Gap,0.10930615663528442,0.0
219,GATRegressor,german_h,MAE Gap,0.2733570337295532,0.0
220,GCNRegressor,german_h,MAE Gap,0.2607161624502665,0.0
221,GINRegressor,german_h,MAE Gap,0.2858434216230582,0.0
222,GraphSAGERegressor,german_h,MAE Gap,0.3501436796620187,0.0
223,MLPRegressor,german_h,MAE Gap,0.3817618191242218,0.0
224,FMP,german_s,MAE Gap,0.2670597732067108,0.0
225,FairGNN,german_s,MAE Gap,0.1017996072769165,0.0
226,FairRegGNN,german_s,MAE Gap,0.10730552673339844,0.0
227,GATRegressor,german_s,MAE Gap,0.2084629237651825,0.0
228,GCNRegressor,german_s,MAE Gap,0.2492305382478793,0.0
229,GINRegressor,german_s,MAE Gap,0.32549405097961426,0.0
230,GraphSAGERegressor,german_s,MAE Gap,0.35763007402420044,0.0
231,MLPRegressor,german_s,MAE Gap,0.34171608738082726,0.0
232,FMP,german_t,MAE Gap,0.20841985940933228,0.0
233,FairGNN,german_t,MAE Gap,0.1027677059173584,0.0
234,FairRegGNN,german_t,MAE Gap,0.10964441299438477,0.0
235,GATRegressor,german_t,MAE Gap,0.2548603415489197,0.0
236,GCNRegressor,german_t,MAE Gap,0.2981007431874484,0.0
237,GINRegressor,german_t,MAE Gap,0.3443858027458191,0.0
