,Model,Dataset,MMD,RepBias,MeanDiff,MAE Gap,MSE Gap,Wasserstein,JS Divergence
21,FMP,german_g,,,0.18111987,0.05154653,0.02575865,0.18315038251815785,0.405980771810172
22,FairGNN,german_g,0.013730645179748535,0.0,0.016803725,0.00057051703,2.8626877e-05,0.016803726119821755,0.3665609808472943
23,FairRegGNN,german_g,0.02875429391860962,0.04271336323393969,0.0012550671,0.0139319785,0.0025514208,0.014576893352672923,0.34463076166550927
24,GATRegressor,german_g,,,0.25501087,0.037991703,0.05456476,0.26445854894459475,0.4116712446362807
25,GCNRegressor,german_g,,,0.263182,0.046812296,0.04027021,0.26318199642432694,0.3006066227297709
26,GINRegressor,german_g,,,0.22353706,0.015028298,0.16429639,0.36137544596690097,0.5683579219898864
27,GMMD,german_g,,,0.09266879,0.0032139122,0.0008544177,0.0983612653670364,0.30763122680158417
28,GraphSAGERegressor,german_g,,,0.3578083,0.0446285,0.03749965,0.3578082966326629,0.24773057424769038
29,MLPRegressor,german_g,,,0.32563084,0.06559244,0.07048045,0.32759090822261916,0.34370536812210306
30,EDITS,german_h,,,22.077927,8.627892,697.4014,22.592207165414123,0.2610262231505097
31,FMP,german_h,,,0.20173857,0.048315153,0.027329702,0.20218402940161745,0.36089241685357937
32,FairGNN,german_h,0.028830409049987793,0.0,0.010594124,0.003390431,6.165721e-05,0.01059425528491291,0.3041380699849058
33,FairRegGNN,german_h,0.05572545528411865,0.06678171082454364,0.0061254706,0.0053433143,0.00075908774,0.010862636996607784,0.2914815185333641
34,GATRegressor,german_h,,,0.25014418,0.0020791888,0.009621143,0.25014417962027885,0.25209129657870777
35,GCNRegressor,german_h,,,0.24192083,0.07140222,0.06519888,0.24242695306545442,0.3132417313771131
36,GINRegressor,german_h,,,0.25723067,0.04548362,0.13424808,0.2858433583717063,0.3335777691770169
37,GMMD,german_h,,,0.07156287,0.03419721,0.01712054,0.09069497665244533,0.3102645851179808
38,GraphSAGERegressor,german_h,,,0.34486338,0.08821538,0.066780716,0.35014368043946087,0.41733003108072675
39,MLPRegressor,german_h,,,0.3817618,0.059320778,0.040398255,0.38176181574095014,0.3168968401272408
40,EDITS,german_s,,,0.29975653,10.256962,1937.0431,12.190942020663552,0.30171729099205197
41,FMP,german_s,,,0.2155066,0.054078326,0.027668774,0.2160247389454232,0.36791040967048855
42,FairGNN,german_s,0.0114898681640625,0.0,0.025873743,0.0014394158,6.2872976e-05,0.025873742371427855,0.29643178203846116
43,FairRegGNN,german_s,0.10904645919799805,0.16001560606911866,0.004912043,0.011255011,0.001465939,0.013174362789100379,0.3570405924246314
44,GATRegressor,german_s,,,0.1984477,0.04132384,0.032415166,0.19844771447646647,0.2647799440954892
45,GCNRegressor,german_s,,,0.24636568,0.06309876,0.056056723,0.2473008363234255,0.3007033949450524
46,GINRegressor,german_s,,,0.077663705,0.12125969,0.3129866,0.26734085542783753,0.42955936285532104
47,GMMD,german_s,,,0.10314466,0.037362993,0.024993166,0.11296975702857232,0.30799507699120415
48,GraphSAGERegressor,german_s,,,0.35763013,0.08144304,0.066450715,0.35763007105929334,0.2911261987857866
49,MLPRegressor,german_s,,,0.33976233,0.105365515,0.11278944,0.33994275789712647,0.28180225649851776
50,EDITS,german_t,,,41.3425,15.332626,2183.638,41.47967297015992,0.2418027885052387
51,FMP,german_t,,,0.17776497,0.057594255,0.032287862,0.18082126731014683,0.37746114744721915
52,FairGNN,german_t,0.025207877159118652,0.0,0.008961892,0.003415537,7.519832e-05,0.009053180128879602,0.24139548256487223
53,FairRegGNN,german_t,0.051746487617492676,0.0988565291727954,0.0017281612,0.008786492,0.00080655457,0.009056830542339222,0.28126475121182865
54,GATRegressor,german_t,,,0.25141454,0.018353045,0.020510614,0.25141452192095703,0.29147630990723633
55,GCNRegressor,german_t,,,0.2509332,0.035573393,0.024609283,0.2509332175291982,0.2650014602879429
56,GINRegressor,german_t,,,0.1042985,0.045565724,0.052128807,0.11931236306994442,0.24339217716117512
57,GMMD,german_t,,,0.07562969,0.00041523576,0.026706964,0.09221870369555382,0.36650147364338703
58,GraphSAGERegressor,german_t,,,0.41186637,0.12834543,0.1449348,0.41245384058605283,0.2748833419279695
